,Timestamp,How old are you?,Gender identity,How often do you attend raves/electronic music events?,Years of experience in the rave scene,What is your primary role in the rave scene?,How often do you engage in conversations on the dancefloor?,"If you talk on the dancefloor, what's the primary reason?",How long do your dancefloor conversations typically last?,Do you perceive talking on the dancefloor as:,Have you noticed a change in dancefloor talking behavior since the COVID-19 pandemic?,What factors do you think contribute to increased talking on the dancefloor? (Select all that apply,How important is it to you to have a quiet dancefloor environment?,How likely are you to ask others to stop talking if it's disturbing your experience?,Do you think talking on the dancefloor affects your own experience?,Do you think talking on the dancefloor affects DJ's performance?,Do you think talking on the dancefloor affects overall event atmosphere?,"In your opinion, what's the best way to address excessive talking on the dancefloor?",Have you noticed any differences in talking behavior based on the time of night or duration of the event?,"Has your own talking behavior on the dancefloor changed over time? If yes, why?",Is there anything else you'd like to share about dancefloor etiquette or your experiences with talking at raves?,Categorized_Roles,Role_Attendee/Raver,Role_DJ,Role_Producer,Role_Event organizer,Role_Club staff,Role_Other,Number_of_Roles
0,7/23/2024 23:56:53,25-34,Male,Weekly,0-3,Attendee/Raver,Sometimes,Meeting new people,Just a few words,Somewhat acceptable,Unsure,"Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",1,2,No effect,No effect,"Yes, negatively",Dedicated places for talking,More talking early and every late in the night,"No, I dont talk much",,['Attendee/Raver'],1,0,0,0,0,0,1
1,7/23/2024 23:59:42,25-34,Male,Weekly,4-7,Attendee/Raver,Sometimes,Meeting new people,1-5 minutes,Somewhat unacceptable,"Yes, more talking","Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",3,2,"Yes, negatively","Yes, negatively","Yes, positively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
2,7/24/2024 0:11:06,35-44+,Male,Every few months,8+,Attendee/Raver,Never,Commenting on the music/performance,Just a few words,Somewhat unacceptable,No change,I disagree with the implication that talking on the dancefloor has increased. ,4,5,No effect,"Yes, negatively","Yes, negatively","Politely ask them to continue the conversation outside, or stop talking and join me in a dancing contest. (This never happened yet) ",,,All the raves I attended had very minimal talking near the dj and lots of dancing. Personally I don't see the bed for this form but nonetheless I'm interested in the results. ,['Attendee/Raver'],1,0,0,0,0,0,1
3,7/24/2024 0:13:17,18-24,Male,Monthly,0-3,"Attendee/Raver, DJ",Rarely,Commenting on the music/performance,Just a few words,Somewhat acceptable,No change,"Changing social norms, Venue layout (lack of dedicated socializing areas)",4,1,No effect,No effect,"Yes, negatively",,,,,"['Attendee/Raver', 'DJ']",1,1,0,0,0,0,2
4,7/24/2024 0:22:06,25-34,Male,Weekly,8+,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",4,4,"Yes, negatively","Yes, negatively","Yes, negatively",Promoting dance floor etiquette,,,,['Attendee/Raver'],1,0,0,0,0,0,1
5,7/24/2024 20:06:54,18-24,Non-binary,Monthly,4-7,Attendee/Raver,Sometimes,Commenting on the music/performance,Just a few words,Somewhat unacceptable,"Yes, more talking","Desire for social connection, Influence of alcohol or substances, Changing social norms",4,2,No effect,"Yes, negatively","Yes, negatively",A gesture maybe instead of wording? Like for example putting hands together (beg) and finger on lips (stop talking) and a smile 🥺🙏 :),Unfortunately I come to the event on already busy moments when everyone kind of comes in. When the event is long there are more dedicated crowds at the end that talk less. ,"I did. Though I have ADHD and a difficulty being quiet on substances I do realize it is a common courtesy to not bother other people. I also went out since I was 17 (2017) so I have had my fair share of lousy partying and evolved into raving which has a different outlook and understanding on going out, dancing, music, substances and socializing.","I realize that it comes a lot from alcohol users and tourists on simple club nights for people that just want to be out and about. I had this in clubs in Amsterdam like Garage Noord and (back then) DS that were open every weekend. Compared to some club nights that act exclusively as an event space with line ups, tickets and ""temporary rules"" not like how common bar/club nights are. Of course it differs per event and night and this my personal observation.",['Attendee/Raver'],1,0,0,0,0,0,1
6,7/25/2024 1:02:41,25-34,Male,Monthly,4-7,Attendee/Raver,Sometimes,Socializing with friends,1-5 minutes,Completely acceptable,Unsure,"Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",2,1,No effect,No effect,"Yes, positively",,,,,['Attendee/Raver'],1,0,0,0,0,0,1
7,7/25/2024 1:10:19,25-34,Male,Monthly,0-3,Attendee/Raver,Rarely,Commenting on the music/performance,Just a few words,Somewhat unacceptable,Unsure,"Changing social norms, Venue layout (lack of dedicated socializing areas), Dutch people somehow don’t have the common sense of moving out of the dance floor if they want to chat",5,3,"Yes, negatively","Yes, negatively","Yes, negatively","Tell them with a smile that we’re here to dance, not to talk",No,I like talking less and less because I’ve become hard of hearing in one ear so I can’t ear people correctly anyway,,['Attendee/Raver'],1,0,0,0,0,0,1
8,7/25/2024 1:21:16,35-44+,Female,Monthly,8+,Attendee/Raver,Never,To say sorry for passing,Just a few words,Completely unacceptable,No change,"Tiktok ravers. The segment has changed, techno is again becoming mainstream = raver etiquette dissapears :( nothing directly to do with the pandemic.",4,3,"Yes, negatively","Yes, negatively","Yes, negatively",Door picking and information,"Early morning is always better, when the mainstream segment are either too drunk or gone home.",No.,,['Attendee/Raver'],1,0,0,0,0,0,1
9,7/25/2024 1:42:22,18-24,Female,Monthly,0-3,Attendee/Raver,Rarely,Commenting on the music/performance,1-5 minutes,Somewhat unacceptable,Unsure,"Desire for social connection, Influence of alcohol or substances, Venue layout (lack of dedicated socializing areas)",3,1,"Yes, negatively","Yes, negatively",No effect,Having signs and designated social areas,More talking during the day,"I’m more aware that it can take others out of the moment, so i try to avoid it",,['Attendee/Raver'],1,0,0,0,0,0,1
